id,name,address,city,country,latitude,longitude,stars,phone,description,facilities,price_from
70,Auberge Prague,4 place de la Cathédrale,Prague,Czech Republic,50.097437,14.447342,3,+42451713892,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",162
71,Das Nice,47 chemin Royale,Nice,France,43.68707,7.271628,3,+36558351060,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",275
72,Das des Arts,194 chemin des Capucines,Milan,Italy,45.454267,9.198038,3,+38885220503,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",364
73,La Villa Lacustre,103 avenue de la Cathédrale,Venice,Italy,45.43041,12.296952,3,+48741642379,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",294
74,La Villa Florence,80 allée de Rivoli,Florence,Italy,43.776945,11.272175,3,+47274926529,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",198
75,Hotel Copenhagen,3 rue des Tanneurs,Copenhagen,Denmark,55.653615,12.568397,5,+37483829626,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",176
76,Le Château Royal,17 allée de la Paix,London,United Kingdom,51.515901,-0.115738,4,+43354784528,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",156
77,Il Salzburg,42 allée des Capucines,Salzburg,Austria,47.816922,13.078522,3,+35634753464,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",162
78,The Bordeaux,156 chemin de la Cathédrale,Bordeaux,France,44.842457,-0.588262,4,+31732038425,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",203
79,Hotel Zurich,113 boulevard de la Liberté,Zurich,Switzerland,47.354852,8.543538,3,+39929926636,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",186
80,Domaine Hamburg,198 allée de la Cathédrale,Hamburg,Germany,53.574668,10.018075,5,+48501043022,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",343
81,Le Château Heritage,50 rue des Tanneurs,Bath,United Kingdom,51.401127,-2.368728,5,+38439647143,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",159
82,La Villa Lumière,152 boulevard de la Cathédrale,Porto,Portugal,41.140908,-8.621997,3,+30979233114,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",353
83,Le Château Prestige,68 place Royale,Lisbon,Portugal,38.733627,-9.121756,4,+43702062573,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",235
84,La Villa Panorama,28 allée du Faubourg,London,United Kingdom,51.525552,-0.128242,5,+43324751759,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",245
85,La Villa Venice,161 allée des Tanneurs,Venice,Italy,45.430477,12.290897,3,+36529634158,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",357
86,Hôtel Royal,122 allée de la Paix,Milan,Italy,45.452403,9.188641,5,+31487232470,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",290
87,Résidence Jardin,163 chemin Royale,Salzburg,Austria,47.828413,13.048861,5,+44197241351,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",121
88,Grand Hôtel Stockholm,83 chemin du Faubourg,Stockholm,Sweden,59.334841,18.082305,3,+35731089238,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",320
89,Hotel Heritage,115 allée de Rivoli,Strasbourg,France,48.590272,7.729459,3,+46247818409,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",252
90,Auberge Copenhagen,180 avenue de la République,Copenhagen,Denmark,55.694526,12.58813,4,+37899197415,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",305
91,Das Hamburg,83 place du Faubourg,Hamburg,Germany,53.564408,9.978268,4,+39941490155,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",362
92,Auberge Amsterdam,198 allée Montaigne,Amsterdam,Netherlands,52.392028,4.907265,5,+35832724848,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",239
93,Domaine Helsinki,19 allée des Fleurs,Helsinki,Finland,60.193656,24.962016,4,+40731812659,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",345
94,Domaine Munich,48 boulevard des Capucines,Munich,Germany,48.118144,11.572354,4,+37970724034,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",326
95,Domaine Oslo,104 chemin des Tanneurs,Oslo,Norway,59.937408,10.7506,4,+34235903801,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",299
96,Maison Berlin,39 impasse de la Liberté,Berlin,Germany,52.53563,13.382574,3,+39281085181,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",277
97,Résidence Lisbon,44 allée des Tanneurs,Lisbon,Portugal,38.736791,-9.158481,3,+45390786968,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",200
98,Domaine Baroque,153 boulevard de la République,Edinburgh,United Kingdom,55.934134,-3.194741,4,+47585273058,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",350
99,Le Château Moderne,187 impasse des Artisans,Hamburg,Germany,53.55592,9.970897,5,+33911488397,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",143
100,The Bath,16 chemin de l'Église,Bath,United Kingdom,51.385509,-2.370668,3,+49165053034,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",187
